Alerts
ALERT: Aluform Checklist Kritija in Building A is REDO for more than 3 days (last: 2025-08-14)
ALERT: Electrical works Shivam Electricals in Building F is REDO for more than 3 days (last: 2025-08-22)
ALERT: PLUMBING WORK-INTERNAL. Vighnaharta in Building D is REDO for more than 3 days (last: 2025-07-28)
ALERT: RCC Works: Reinforcements and Shuttering (Slab/Beam) Kritija in  is REDO for more than 3 days (last: 2025-06-23)
ALERT: TILING- TOILET DADO WORK. Nath in Building E is REDO for more than 3 days (last: 2025-08-13)
ALERT: AAC BLOCK WORK. Sonali Const. in Building F stuck in Pre for more than 3 weeks (since: 2025-06-19)
ALERT: AAC BLOCK WORK. Sonali Const. in Building F stuck in During for more than 3 weeks (since: 2025-07-26)
ALERT: AAC BLOCK WORK. Swaraj in Building D stuck in Pre for more than 3 weeks (since: 2025-07-24)
ALERT: AAC BLOCK WORK. Swaraj in Building D stuck in During for more than 3 weeks (since: 2025-07-26)
ALERT: Aluform Checklist Kritija in Building A stuck in Pre for more than 3 weeks (since: 2025-07-27)
ALERT: Aluform Checklist Kritija in Building F stuck in Other for more than 3 weeks (since: 2025-08-06)
ALERT: CARPENTRY WORK : DOOR FRAME & SHUTTERS. Hari Om Ent. in Building E stuck in Pre for more than 3 weeks (since: 2025-07-03)
ALERT: CARPENTRY WORK : DOOR FRAME & SHUTTERS. Hari Om Ent. in Building E stuck in During for more than 3 weeks (since: 2025-07-09)
ALERT: CARPENTRY WORK : DOOR FRAME & SHUTTERS. Namoh in Building C stuck in Pre for more than 3 weeks (since: 2025-07-31)
ALERT: GYPSUM PLASTER WORKS  Faujan in Building F stuck in Pre for more than 3 weeks (since: 2025-06-28)
ALERT: GYPSUM PLASTER WORKS  Faujan in Building F stuck in During for more than 3 weeks (since: 2025-06-17)
ALERT: GYPSUM PLASTER WORKS Mehek in Building B stuck in Pre for more than 3 weeks (since: 2025-07-30)
ALERT: Gypsum Plaster Works Safat Khan in Building D stuck in Pre for more than 3 weeks (since: 2025-07-04)
ALERT: Gypsum Plaster Works Safat Khan in Building D stuck in During for more than 3 weeks (since: 2025-07-03)
ALERT: PCC (PLAIN CEMENT CONCRETE). Kritija in Building A stuck in During for more than 3 weeks (since: 2025-07-14)
ALERT: PCC (PLAIN CEMENT CONCRETE). Kritija in MLCP stuck in Pre for more than 3 weeks (since: 2025-07-13)
ALERT: PLUMBING WORK-INTERNAL. Vighnaharta in Building B stuck in Other for more than 3 weeks (since: 2025-07-28)
ALERT: PLUMBING WORK-INTERNAL. Vighnaharta in Building D stuck in Other for more than 3 weeks (since: 2025-07-21)
ALERT: Painting Works : Internal (Ayush Ent) in Building C stuck in Pre for more than 3 weeks (since: 2025-07-31)
ALERT: RCC FOOTING WORK. Kritija in  stuck in Shuttering for more than 3 weeks (since: 2025-07-26)
ALERT: RCC Works: Reinforcements and Shuttering (Column / Wall /  Staircase) Kritija in  stuck in Shuttering for more than 3 weeks (since: 2025-06-18)
ALERT: RCC Works: Reinforcements and Shuttering (Column / Wall /  Staircase) Kritija in MLCP stuck in Pre for more than 3 weeks (since: 2025-06-20)
ALERT: RCC Works: Reinforcements and Shuttering (Column / Wall /  Staircase) Kritija in MLCP stuck in Reinforcement for more than 3 weeks (since: 2025-06-12)
ALERT: RCC Works: Reinforcements and Shuttering (Column / Wall /  Staircase) Mahaveer in Building D stuck in Pre for more than 3 weeks (since: 2025-07-24)
ALERT: RCC Works: Reinforcements and Shuttering (Column / Wall /  Staircase) Mahaveer in Building D stuck in During for more than 3 weeks (since: 2025-07-24)
ALERT: RCC Works: Reinforcements and Shuttering (Column / Wall /  Staircase) Shree Sai Construction in Building D stuck in During for more than 3 weeks (since: 2025-06-27)
ALERT: RCC Works: Reinforcements and Shuttering (Column / Wall /  Staircase) Shree Sai Construction in Development stuck in During for more than 3 weeks (since: 2025-06-21)
ALERT: RCC Works: Reinforcements and Shuttering (Column/Staircase/Beam) Kritija in  stuck in Shuttering for more than 3 weeks (since: 2025-06-25)
ALERT: RCC Works: Reinforcements and Shuttering (Column/Staircase/Beam) Kritija in MLCP stuck in Shuttering for more than 3 weeks (since: 2025-07-13)
ALERT: RCC Works: Reinforcements and Shuttering (Slab/Beam) Kritija in  stuck in Pre for more than 3 weeks (since: 2025-06-23)
ALERT: RCC Works: Reinforcements and Shuttering (Slab/Beam) Kritija in MLCP stuck in Pre for more than 3 weeks (since: 2025-06-07)
ALERT: RCC Works: Reinforcements and Shuttering (Slab/Beam) Kritija in MLCP stuck in Reinforcement for more than 3 weeks (since: 2025-07-13)
ALERT: RCC Works: Reinforcements and Shuttering (Slab/Beam) Kritija in MLCP stuck in Shuttering for more than 3 weeks (since: 2025-07-13)
