BaseName,Building,Pre,During,Post,Reinforcement,Shuttering,Other,Total Count
FIRE FIGHTING CHECKLIST,Building D,0,0,0,0,0,0,0
FIRE FIGHTING CHECKLIST,Building E,0,0,0,0,0,0,0
FIRE FIGHTING CHECKLIST,Building F,0,0,0,0,0,0,0
FIRE FIGHTING CHECKLIST,Development,0,0,0,0,0,0,0
FIRE FIGHTING CHECKLIST,MLCP,0,0,0,0,0,0,0
FIRE FIGHTING CHECKLIST,UNKNOWN,0,0,0,0,0,0,0
GYPSUM PLASTER WORKS,Building A,0,0,0,0,0,0,0
GYPSUM PLASTER WORKS,Building B,11,4,0,0,0,0,15
GYPSUM PLASTER WORKS,Building C,0,0,0,0,0,0,0
GYPSUM PLASTER WORKS,Building D,0,0,0,0,0,0,0
GYPSUM PLASTER WORKS,Building E,0,0,0,0,0,0,0
GYPSUM PLASTER WORKS,Building F,27,21,15,0,0,0,63
GYPSUM PLASTER WORKS,Development,0,0,0,0,0,0,0
GYPSUM PLASTER WORKS,MLCP,0,0,0,0,0,0,0
GYPSUM PLASTER WORKS,UNKNOWN,1,0,0,0,0,0,1
Gypsum Plaster Works Safat,Building A,0,0,0,0,0,0,0
Gypsum Plaster Works Safat,Building B,0,0,0,0,0,0,0
Gypsum Plaster Works Safat,Building C,0,0,0,0,0,0,0
Gypsum Plaster Works Safat,Building D,25,6,2,0,0,0,33
Gypsum Plaster Works Safat,Building E,0,0,0,0,0,0,0
Gypsum Plaster Works Safat,Building F,0,0,0,0,0,0,0
Gypsum Plaster Works Safat,Development,0,0,0,0,0,0,0
Gypsum Plaster Works Safat,MLCP,0,0,0,0,0,0,0
Gypsum Plaster Works Safat,UNKNOWN,0,0,0,0,0,0,0
Internal Plaster,Building A,0,0,0,0,0,0,0
Internal Plaster,Building B,0,0,0,0,0,0,0
Internal Plaster,Building C,0,0,0,0,0,0,0
Internal Plaster,Building D,43,42,37,0,0,0,122
Internal Plaster,Building E,0,0,0,0,0,0,0
Internal Plaster,Building F,22,16,13,0,0,0,51
Internal Plaster,Development,0,0,0,0,0,0,0
Internal Plaster,MLCP,0,0,0,0,0,0,0
Internal Plaster,UNKNOWN,0,0,0,0,0,0,0
MEP Checklists,Building A,0,0,0,0,0,0,0
MEP Checklists,Building B,0,0,0,0,0,0,0
MEP Checklists,Building C,0,0,0,0,0,0,0
MEP Checklists,Building D,0,0,0,0,0,0,0
MEP Checklists,Building E,0,0,0,0,0,0,0
MEP Checklists,Building F,0,0,0,0,0,6,6
MEP Checklists,Development,0,0,0,0,0,0,0
MEP Checklists,MLCP,0,0,0,0,0,0,0
MEP Checklists,UNKNOWN,0,0,0,0,0,0,0
PCC (PLAIN CEMENT CONCRETE),Building A,4,4,1,0,0,0,9
PCC (PLAIN CEMENT CONCRETE),Building B,0,0,0,0,0,0,0
PCC (PLAIN CEMENT CONCRETE),Building C,0,0,0,0,0,0,0
PCC (PLAIN CEMENT CONCRETE),Building D,0,0,0,0,0,0,0
PCC (PLAIN CEMENT CONCRETE),Building E,0,0,0,0,0,0,0
PCC (PLAIN CEMENT CONCRETE),Building F,0,0,0,0,0,0,0
PCC (PLAIN CEMENT CONCRETE),Development,0,0,0,0,0,0,0
PCC (PLAIN CEMENT CONCRETE),MLCP,5,4,4,0,0,0,13
